"","GS.Adjusted"
"1",170.936844
"2",169.344284
"3",169.514618
"4",173.500183
"5",173.798248
"6",177.230255
"7",180.440903
"8",182.237823
"9",181.897125
"10",181.590576
"11",178.567352
"12",179.386261
"13",181.672394
"14",181.3909
"15",187.754547
"16",181.757645
"17",182.124527
"18",180.02597
"19",178.098145
"20",180.981445
"21",180.84494
"22",182.064804
"23",181.314133
"24",183.105484
"25",182.167206
"26",182.465683
"27",181.936859
"28",180.102814
"29",181.297043
"30",185.451385
"31",184.956619
"32",185.041916
"33",188.471176
"34",187.797211
"35",186.790695
"36",184.683609
"37",182.551041
"38",167.196243
"39",172.101334
"40",170.318436
"41",166.914825
"42",162.078064
"43",168.364944
"44",166.846558
"45",170.557327
"46",172.058624
"47",172.826401
"48",169.780991
"49",170.736404
"50",171.367661
"51",169.755356
"52",172.68985
"53",174.020615
"54",179.949249
"55",179.207077
"56",180.751144
"57",180.614624
"58",179.028
"59",176.375
"60",176.750381
"61",176.26416
"62",175.428162
"63",178.925583
"64",178.106689
"65",177.373093
"66",178.234589
"67",178.328491
"68",176.520004
"69",176.622406
"70",176.153198
"71",182.994614
"72",183.318832
"73",184.896896
"74",187.063583
"75",187.969299
"76",190.036942
"77",188.584503
"78",192.753952
"79",192.079041
"80",191.626205
"81",186.781647
"82",186.756012
"83",187.533554
"84",189.302155
"85",194.240601
"86",194.138123
"87",192.198608
"88",193.582672
"89",190.61795
"90",194.377319
"91",193.249496
"92",191.711609
"93",194.044083
"94",194.274796
"95",196.803848
"96",195.855438
"97",197.119904
"98",195.265884
"99",192.822311
"100",192.694138
"101",195.180511
"102",198.222122
"103",197.213974
"104",197.119904
"105",196.26561
"106",195.966522
"107",194.249191
"108",188.011993
"109",192.292526
"110",194.086853
"111",194.676315
"112",199.623352
"113",192.88208
"114",193.258041
"115",193.924469
"116",196.060562
"117",193.001709
"118",193.864685
"119",190.019852
"120",185.183899
"121",182.988098
"122",187.39682
"123",187.08078
"124",185.192444
"125",187.268631
"126",191.856812
"127",189.097107
"128",191.079315
"129",190.788864
"130",185.474457
"131",185.166824
"132",188.217056
"133",189.831924
"134",188.311096
"135",187.456665
"136",183.688705
"137",180.86911
"138",175.95636
"139",175.187347
"140",169.300446
"141",173.581085
"142",166.711685
"143",164.897064
"144",167.541992
"145",161.207916
"146",161.772903
"147",160.454697
"148",153.795502
"149",160.737183
"150",163.698761
"151",165.453445
"152",155.99527
"153",154.497345
"154",151.929565
"155",145.296021
"156",141.144684
"157",145.381622
"158",149.789719
"159",147.872391
"160",150.200562
"161",152.263397
"162",151.929565
"163",153.838303
"164",152.314743
"165",146.32312
"166",148.694092
"167",146.691177
"168",150.654266
"169",154.754211
"170",152.19487
"171",153.367554
"172",153.19635
"173",157.159363
"174",157.065201
"175",156.234924
"176",161.31926
"177",163.133804
"178",160.58313
"179",171.616211
"180",175.895935
"181",174.209686
"182",179.730499
"183",180.115646
"184",180.51799
"185",183.693542
"186",185.550888
"187",185.516647
"188",190.857712
"189",195.171738
"190",194.598221
"191",193.399918
"192",195.582581
"193",194.264359
"194",204.74118
"195",201.950775
"196",196.019119
"197",199.913574
"198",196.301498
"199",192.441269
"200",194.829315
"201",195.026169
"202",186.329819
"203",190.173035
"204",191.525375
"205",192.689468
"206",194.309723
"207",202.248077
"208",209.011932
"209",206.028656
"210",212.535294
"211",205.925781
"212",196.830063
"213",187.220078
"214",191.30925
"215",183.610916
"216",179.976089
"217",181.167755
"218",184.065323
"219",199.779114
"220",200.01059
"221",194.618347
"222",193.101013
"223",189.063217
"224",186.439987
"225",179.598938
"226",185.582703
"227",177.841476
"228",182.882309
"229",195.047043
"230",192.355194
"231",194.292618
"232",194.506882
"233",184.502518
"234",187.108658
"235",190.752014
"236",186.791443
"237",192.209381
"238",181.013397
"239",182.239304
"240",178.724487
"241",180.601898
"242",178.853043
"243",172.749298
"244",175.021057
"245",173.743698
"246",179.684647
"247",183.730927
"248",185.762711
"249",181.699219
"250",181.690643
"251",184.356842
"252",177.970062
"253",175.604034
"254",171.394836
"255",166.936996
"256",162.453476
"257",164.382294
"258",168.805817
"259",170.374634
"260",172.869324
"261",165.702499
"262",169.311569
"263",163.722168
"264",160.490341
"265",163.473557
"266",170.93187
"267",170.768982
"268",164.345261
"269",168.536163
"270",168.36438
"271",170.511368
"272",171.370132
"273",178.437973
"274",172.443588
"275",163.048492
"276",160.738373
"277",163.563812
"278",160.652542
"279",159.621948
"280",155.13913
"281",154.735565
"282",151.626694
"283",153.215424
"284",149.25647
"285",152.219269
"286",150.433014
"287",152.614365
"288",152.313736
"289",148.311798
"290",155.26796
"291",151.746948
"292",145.675323
"293",141.767853
"294",140.496887
"295",141.673401
"296",136.245911
