"","JJC.Open","JJC.High","JJC.Low","JJC.Close","JJC.Volume","JJC.Adjusted"
"1",50.400002,50.400002,50.400002,50.400002,3000,50.400002
"2",50.400002,50.400002,50.400002,50.400002,8200,50.400002
"3",49.57,49.57,49.57,49.57,100,49.57
"4",49.790001,49.790001,49.630001,49.630001,300,49.630001
"5",48.540001,48.540001,47.970001,47.970001,700,47.970001
"6",48.049999,48.049999,47.43,47.57,500,47.57
"7",47.57,47.57,47.57,47.57,0,47.57
"8",47.52,47.52,47.52,47.52,200,47.52
"9",47.18,47.18,47.18,47.18,200,47.18
"10",45.759998,45.759998,45.689999,45.689999,300,45.689999
"11",44.77,44.900002,44.709999,44.900002,5500,44.900002
"12",44.900002,44.900002,44.900002,44.900002,0,44.900002
"13",44.540001,44.630001,43.799999,44.389999,1200,44.389999
"14",45.139999,46.919998,45.139999,46.860001,17300,46.860001
"15",44.580002,44.700001,43.98,44.080002,3300,44.080002
"16",44.950001,45.279999,44.950001,45.279999,200,45.279999
"17",43.189999,43.189999,42.540001,42.540001,6600,42.540001
"18",43.150002,43.150002,43.150002,43.150002,100,43.150002
"19",41.529999,41.529999,41.529999,41.529999,100,41.529999
"20",42.459999,42.869999,42.459999,42.869999,900,42.869999
"21",42.709999,42.709999,42.549999,42.549999,400,42.549999
"22",42.099998,42.099998,42.099998,42.099998,100,42.099998
"23",42.099998,42.099998,42.099998,42.099998,0,42.099998
"24",43.830002,43.900002,43.700001,43.900002,400,43.900002
"25",43.900002,43.900002,43.900002,43.900002,0,43.900002
"26",43.73,43.73,43.369999,43.369999,700,43.369999
"27",42.610001,42.610001,42.610001,42.610001,5100,42.610001
"28",42.610001,42.610001,42.610001,42.610001,0,42.610001
"29",43.290001,43.290001,43.220001,43.220001,1200,43.220001
"30",43.220001,43.220001,43.220001,43.220001,0,43.220001
"31",43.77,43.970001,43.77,43.790001,300,43.790001
"32",43.299999,43.299999,43.299999,43.299999,400,43.299999
"33",43.139999,43.139999,43.139999,43.139999,400,43.139999
"34",42,42,41.630001,41.630001,5700,41.630001
"35",41.330002,41.360001,41.330002,41.360001,500,41.360001
"36",40.75,40.950001,40.75,40.810001,2400,40.810001
"37",40.810001,40.810001,40.810001,40.810001,0,40.810001
"38",41.48,41.880001,41.48,41.759998,1100,41.759998
"39",41.759998,41.759998,41.759998,41.759998,0,41.759998
"40",43.919998,43.919998,43.849998,43.849998,600,43.849998
"41",44.75,44.75,44.619999,44.619999,200,44.619999
"42",44.939999,44.950001,44.779999,44.84,14200,44.84
"43",43.93,43.990002,43.93,43.990002,1100,43.990002
"44",43.93,43.93,43.650002,43.650002,1200,43.650002
"45",43.080002,43.080002,43.080002,43.080002,300,43.080002
"46",43.27,43.27,43.27,43.27,300,43.27
"47",44.080002,45.130001,44.080002,45.130001,600,45.130001
"48",44.5,44.5,44.150002,44.150002,1700,44.150002
"49",44.200001,44.25,44.099998,44.240002,1000,44.240002
"50",46,47,45.959999,46.59,8000,46.59
"51",46.610001,46.610001,46.32,46.32,300,46.32
"52",45.830002,46.5,45.830002,46.5,800,46.5
"53",46.529999,46.939999,46.400002,46.900002,2200,46.900002
"54",47.189999,47.59,47.049999,47.560001,2000,47.560001
"55",46.5,46.5,45.759998,46.119999,1900,46.119999
"56",45.139999,45.389999,44.830002,44.830002,1200,44.830002
"57",45.5,45.5,44.810001,44.810001,1500,44.810001
"58",45.59,45.889999,45.59,45.889999,600,45.889999
"59",43.450001,45.380001,43.450001,45.139999,7900,45.139999
"60",44.439999,44.439999,43.599998,43.66,3500,43.66
"61",45.400002,45.400002,45.400002,45.400002,400,45.400002
"62",45.549999,45.549999,44.880001,45.049999,700,45.049999
"63",44.869999,44.919998,44.869999,44.919998,2000,44.919998
"64",46.66,46.68,46.66,46.68,300,46.68
"65",46.119999,46.509998,45.77,46.400002,5400,46.400002
"66",45.880001,46.98,45.880001,46.98,1300,46.98
"67",46.700001,46.700001,46.459999,46.509998,3200,46.509998
"68",46.57,46.939999,46.439999,46.939999,9300,46.939999
"69",45.630001,45.73,45.630001,45.709999,1200,45.709999
"70",46.450001,46.990002,46.450001,46.66,1100,46.66
"71",47.310001,49.490002,47.310001,48.91,22200,48.91
"72",50,50.529999,49.880001,49.98,6800,49.98
"73",50.610001,50.610001,50.299999,50.59,8900,50.59
"74",50.490002,51.099998,50.299999,50.439999,17100,50.439999
"75",50.169998,50.400002,50.09,50.369999,2900,50.369999
"76",50.049999,50.18,49.209999,49.209999,8800,49.209999
"77",50.310001,50.5,50.080002,50.279999,2700,50.279999
"78",52.060001,53.07,52.040001,52.880001,7400,52.880001
"79",52.330002,52.84,52.220001,52.810001,7800,52.810001
"80",53.290001,54.400002,53.290001,54.049999,9000,54.049999
"81",53.98,54.130001,52.75,54.130001,11100,54.130001
"82",57.419998,57.709999,51.509998,54.150002,30000,54.150002
