"","JJC.Open","JJC.High","JJC.Low","JJC.Close","JJC.Volume","JJC.Adjusted"
"1",50.400002,50.400002,49.57,49.630001,11600,49.630001
"2",48.540001,48.540001,41.529999,43.900002,38000,43.900002
"3",43.73,44.950001,40.75,43.080002,35400,43.080002
"4",43.27,47.59,43.27,46.98,43600,46.98
"5",46.700001,57.709999,45.630001,54.419998,345100,54.419998
"6",55.599998,58.400002,46.060001,54.130001,516300,54.130001
"7",52.849998,56.919998,52.549999,55.57,274700,55.57
"8",54.400002,56.619999,50.509998,51.060001,391700,51.060001
"9",50.790001,55.209999,50,54.849998,150100,54.849998
"10",55.419998,57.689999,50.5,52.150002,420300,52.150002
"11",50.900002,50.900002,45.82,48.150002,149300,48.150002
"12",46.150002,47.43,40.599998,41.040001,173500,41.040001
"13",40.18,40.18,23.51,26.450001,249500,26.450001
"14",25.57,28.200001,21.879999,23.280001,95900,23.280001
"15",23,23.01,17.969999,19.610001,151400,19.610001
"16",20.379999,22.799999,19.5,20.280001,310400,20.280001
"17",20.33,23.08,19.879999,21.6,262400,21.6
"18",21.41,26.309999,21.15,25.870001,1527400,25.870001
"19",25.309999,31.280001,25.23,28.280001,2342200,28.280001
"20",28.83,30.700001,27.68,30.57,1529500,30.57
"21",31.5,34.189999,29.540001,31.59,1901700,31.59
"22",32.439999,36.5,29.67,36.459999,1543000,36.459999
"23",37.860001,41.16,36.68,39.25,2647600,39.25
"24",39.459999,41.150002,37,38.709999,2591000,38.709999
"25",38.459999,42.360001,36.57,40.810001,3008500,40.810001
"26",40.52,44,40,43.48,2011900,43.48
"27",43.93,46.259998,42.189999,45.799999,1558500,45.799999
"28",46.790001,48.25,41.43,41.509998,3171500,41.509998
"29",41.709999,46.029999,38.450001,44.700001,3949400,44.700001
"30",45.799999,48.639999,44.73,48.299999,3024200,48.299999
"31",48.919998,49.509998,45.049999,45.330002,1666800,45.330002
"32",44.810001,44.93,39.040001,41.93,3448700,41.93
"33",41.169998,41.759998,36.599998,39.07,1987900,39.07
"34",38.75,44.400002,38.130001,44.310001,1360300,44.310001
"35",45.009998,45.669998,42.57,44.830002,2401500,44.830002
"36",45.790001,48.919998,45.150002,48.790001,2627700,48.790001
"37",49.369999,51.759998,48.700001,49.880001,2854500,49.880001
"38",50.709999,53.970001,49,50.630001,3666400,50.630001
"39",51.689999,59.299999,51.639999,59.099998,4330700,59.099998
"40",59.41,59.639999,55.939999,59.200001,4936500,59.200001
"41",59.82,61.689999,56.540001,59.720001,5399400,59.720001
"42",59.709999,60.330002,54.380001,56.900002,6672100,56.900002
"43",56.34,60.040001,54.84,55.169998,4665200,55.169998
"44",55.02,56.259998,51.310001,55.25,5528600,55.25
"45",54.48,56.220001,52.889999,56.080002,3118600,56.080002
