"","CSCO.Open","CSCO.High","CSCO.Low","CSCO.Close","CSCO.Volume","CSCO.Adjusted"
"1",27.459999,27.98,27.33,27.73,64226000,21.624001
"2",27.68,28.49,27.540001,28.459999,73012100,22.193258
"3",28.440001,28.57,28.049999,28.469999,62647800,22.201054
"4",28.540001,28.74,28.32,28.629999,47936500,22.325829
"5",28.719999,28.75,28.309999,28.469999,50488300,22.201054
"6",28.27,28.73,28.209999,28.68,50632400,22.364815
"7",28.77,28.99,28.610001,28.690001,54602200,22.372618
"8",28.540001,28.969999,28.450001,28.92,54588000,22.551977
"9",28.59,28.59,28,28.040001,75551500,21.865742
"10",27.860001,28,26.889999,26.98,108858000,21.039146
"11",27.129999,27.15,26.27,26.450001,80498300,20.625854
"12",26.450001,26.85,26.42,26.700001,62266800,20.820801
"13",26.75,26.799999,26.15,26.530001,69421400,20.688238
"14",26.370001,26.719999,26.030001,26.040001,67695900,20.306131
"15",26.23,26.950001,26.190001,26.889999,63817000,20.968966
"16",26.93,26.950001,26.16,26.219999,55317400,20.446497
"17",26.16,26.540001,25.76,26.35,64449600,20.547871
"18",26.290001,26.469999,26,26.209999,51536100,20.438698
"19",26.290001,26.34,26.030001,26.25,45030400,20.469894
"20",26.190001,26.809999,26.049999,26.620001,60517900,20.758421
"21",26.67,26.99,26.360001,26.59,55597200,20.735022
"22",26.91,27.18,26.6,27.139999,59427500,21.163908
"23",27.42,27.67,27.23,27.51,61115800,21.452446
"24",27.75,27.780001,27.120001,27.280001,105179400,21.273092
"25",28.620001,28.85,28.08,28.09,128470500,21.904736
"26",27.9,28.35,27.799999,28.139999,55285200,21.943724
"27",28.059999,28.15,27.48,27.709999,50559800,21.60841
"28",27.620001,27.75,27.42,27.540001,39247500,21.475838
"29",27.66,27.73,27.01,27.18,59367700,21.195108
"30",27.26,27.65,27.15,27.459999,48659900,21.413452
"31",27.59,27.809999,27.450001,27.559999,36506000,21.491436
"32",27.48,27.549999,27.360001,27.52,34920100,21.460245
"33",27.559999,28,27.280001,27.66,40816100,21.56941
"34",27.32,27.610001,27.299999,27.379999,35555600,21.351065
"35",27.52,27.610001,27.219999,27.4,40347700,21.366667
"36",27.35,27.67,27.35,27.51,40647000,21.452446
"37",27.639999,27.700001,27.02,27.24,37742200,21.241901
"38",26.75,26.950001,25.440001,25.709999,78613400,20.048792
"39",25.799999,26.25,25.75,25.940001,63725500,20.228153
"40",25.4,26.25,25.07,25.85,70349100,20.157967
"41",25.690001,25.969999,25.15,25.299999,68604200,19.729071
"42",25.02,25.75,24.82,25.459999,60022300,19.853842
"43",25.790001,26.07,25.700001,25.959999,51801300,20.243746
"44",25.91,26.120001,25.58,25.870001,65487300,20.173567
"45",26.17,26.43,26.07,26.15,43868500,20.391912
"46",26.42,26.49,25.940001,26.08,39302700,20.337326
"47",25.98,26.25,25.889999,26.17,29173700,20.407507
"48",26,26.23,25.469999,25.5,58047500,19.885036
"49",25.5,25.879999,25.26,25.85,53373200,20.157967
"50",25.700001,25.93,25.620001,25.809999,38348800,20.126768
"51",25.790001,26.07,25.73,25.99,49897100,20.267139
"52",26.190001,26.370001,26,26.299999,37540300,20.508883
"53",26.33,26.48,26.1,26.34,43996700,20.540079
"54",26.4,26.790001,26.059999,26.790001,44297700,20.890987
"55",26.76,26.790001,26.360001,26.370001,37075400,20.563469
"56",26.450001,26.58,26.190001,26.190001,31198200,20.423103
"57",26.23,26.35,25.809999,26.34,44659700,20.540079
"58",26.15,26.24,25.85,25.93,39229400,20.220352
"59",25.790001,27,25.57,25.700001,42165000,20.041002
"60",25.92,25.969999,25.16,25.43,56818400,19.830456
"61",25.43,25.65,25.110001,25.530001,38922900,19.90843
"62",25.67,25.73,25.309999,25.4,33519000,19.807053
"63",25.540001,26.07,25.440001,25.85,45485100,20.157967
"64",25.950001,26.219999,25.879999,26.1,39936300,20.352919
"65",26.02,26.17,25.9,26.059999,29372100,20.321732
"66",26.120001,26.35,26.110001,26.200001,28169500,20.430899
"67",26.1,26.18,25.780001,25.99,38575000,20.267139
"68",25.969999,26.139999,25.639999,25.790001,42709700,20.111183
"69",25.780001,26.07,25.629999,25.969999,28071900,20.251539
"70",25.92,26.950001,25.639999,26.68,83160800,20.80521
"71",26.67,26.93,26.48,26.620001,51863700,20.758421
"72",26.68,27.120001,26.559999,26.84,59262500,20.929972
"73",26.66,26.99,26.5,26.870001,32158000,20.953373
"74",26.59,26.75,26.469999,26.68,29165200,20.80521
"75",27.049999,27.1,26.75,26.99,42547500,21.046946
"76",26.91,26.940001,26.5,26.58,38480700,20.72723
"77",26.65,26.66,26.059999,26.33,53272500,20.532276
"78",26.530001,26.870001,26.219999,26.780001,45166800,20.883188
"79",26.82,27.16,26.540001,26.549999,50933500,20.703831
"80",26.51,27.049999,26.49,27.030001,45157900,21.078138
"81",27,27.200001,26.74,26.74,50368000,20.851997
"82",26.870001,27.030001,26.559999,26.860001,46221200,20.945572
"83",27.030001,27.75,27.02,27.67,57237400,21.577213
"84",27.76,27.940001,27.559999,27.700001,37016600,21.600611
"85",27.940001,28,27.799999,27.91,45872300,21.764364
"86",27.959999,27.969999,27.76,27.809999,46411700,21.686386
"87",27.780001,28.48,27.639999,28.360001,98226500,22.115284
"88",27.02,27.09,26.440001,26.51,151576700,20.672642
"89",26.370001,26.77,26.26,26.290001,59524200,20.501083
"90",26.440001,26.65,26.35,26.629999,39094200,20.766209
"91",26.620001,26.65,26.120001,26.290001,50552200,20.501083
"92",26.360001,26.49,26.08,26.129999,43053100,20.376312
"93",26.299999,26.49,26.129999,26.48,38666800,20.649244
"94",26.299999,26.620001,26.25,26.280001,37058100,20.493284
"95",26.360001,26.41,26.16,26.209999,40781200,20.438698
"96",26.209999,26.540001,26.190001,26.4,43044700,20.586857
"97",26.379999,26.5,26.26,26.370001,40002600,20.563469
"98",26.41,26.43,25.879999,25.969999,54835900,20.251539
"99",26.01,26.059999,25.33,25.4,67814900,19.807053
"100",25.540001,25.68,25.4,25.52,42654600,19.900633
"101",25.59,26,25.549999,25.9,39918300,20.196959
"102",25.690001,26.4,25.6,26.389999,55932300,20.579058
"103",26.74,26.99,26.49,26.92,76344400,20.992367
"104",26.950001,27.4,26.83,26.860001,47539400,20.945572
"105",26.719999,27.049999,26.65,27.01,32524500,21.062546
"106",26.860001,27.299999,26.860001,27.200001,59452300,21.210705
"107",26.98,27.08,26.469999,26.6,42858600,20.742825
"108",26.450001,26.6,25.84,25.85,68232400,20.157967
"109",25.879999,26.51,25.84,26.48,47289500,20.649244
"110",26.290001,26.530001,26.27,26.32,24508400,20.524473
"111",26.120001,26.530001,26.030001,26.059999,49529900,20.321732
"112",26.219999,26.530001,25.860001,26.530001,43020100,20.688238
"113",26.530001,26.969999,26.51,26.83,39936800,20.922174
"114",27.040001,27.4,26.879999,27.389999,74476400,21.358866
"115",27.389999,27.4,27.040001,27.209999,45438500,21.218502
"116",27.1,27.4,26.879999,27.299999,42405200,21.288683
"117",27.379999,27.700001,27.139999,27.200001,62296300,21.210705
"118",27.18,27.440001,26.91,27.32,50549100,21.304285
"119",27.17,27.49,26.85,26.92,53207100,20.992367
"120",26.84,27.35,26.75,27.030001,44086600,21.078138
"121",27.290001,27.49,26.99,27.15,53507400,21.171719
"122",26.950001,27.299999,26.85,27.27,38389500,21.265295
"123",27.709999,28.4,27.57,27.85,77966700,21.717577
"124",27.98,28.059999,27.65,27.85,44996100,21.717577
"125",28.02,28.059999,27.790001,27.889999,36955200,21.74877
"126",27.969999,28.1,27.809999,28.1,22459300,21.912529
"127",28.059999,28.379999,27.940001,28.370001,38774800,22.123083
"128",28.34,28.5,28.24,28.469999,34530200,22.201054
"129",28.43,28.5,28.35,28.450001,33283200,22.185463
"130",28.18,28.48,28.1,28.309999,39571700,22.076284
"131",28.139999,28.799999,28.129999,28.76,42390300,22.427202
"132",28.889999,29.969999,27.559999,29.799999,91906700,23.238201
"133",29.52,29.959999,29.5,29.889999,56273400,23.308384
"134",29.719999,30,29.719999,29.889999,44305500,23.308384
"135",29.85,29.98,29.6,29.73,37508500,23.183615
"136",29.450001,29.549999,28.879999,29.440001,47968900,22.957472
"137",29.85,30,29.809999,29.940001,53279800,23.347374
"138",29.940001,29.940001,29.4,29.59,45824600,23.074434
"139",29.73,30.389999,29.68,30.26,63484100,23.596907
"140",29.950001,30.360001,29.58,29.76,69577300,23.207012
"141",30,30.24,29.65,29.91,53082100,23.323975
"142",29.49,29.950001,29.08,29.67,75708200,23.13682
"143",29.73,29.85,28.940001,28.969999,65845500,22.59096
"144",29.01,29.559999,28.629999,29.49,44467000,22.99646
"145",29.82,29.860001,28.91,28.91,53750200,22.544172
"146",28.77,29.82,28.75,29.77,60419600,23.214804
"147",29.719999,30.209999,29.67,30.129999,57743600,23.495537
"148",30,30.129999,29.440001,29.459999,51310500,22.973064
"149",29.59,29.700001,28.9,29.5,71355300,23.004257
"150",29.52,29.860001,28.93,29.690001,80731400,23.152422
"151",31.129999,32.25,31,31.68,193438400,24.704239
"152",31.200001,32.470001,31.18,31.4,102385500,24.485888
"153",31,31.5,30.84,31.389999,82953500,24.478086
"154",31.57,31.6,30.780001,30.83,76475600,24.041399
"155",30.98,31.17,30.08,30.26,86429500,23.596907
"156",30.15,30.74,29.889999,29.92,67216700,23.331781
"157",29.780001,30.049999,28.58,29.299999,103117900,22.848293
"158",30.01,30.459999,29.559999,29.99,78478700,23.386356
"159",29.93,30.309999,29.52,29.76,50697300,23.207012
"160",29.76,30.299999,29.690001,30.1,39863000,23.472141
"161",30.450001,30.469999,29.91,30.26,39826300,23.596907
"162",30.49,30.620001,30.059999,30.27,38032000,23.604704
"163",30.200001,30.75,30.07,30.73,33962000,23.963417
"164",30.51,31.25,30.51,31.1,43417300,24.251947
"165",30.860001,31.1,30.389999,30.41,41973100,23.713884
"166",30.540001,31.02,30.49,31,39609200,24.173973
"167",30.82,31.969999,30.76,31.43,56344200,24.509283
"168",31.870001,31.98,31.67,31.92,39064400,24.891384
"169",31.940001,32.5,31.75,32.32,54173800,25.203308
"170",32.099998,32.290001,31.92,32.220001,53359500,25.12533
"171",32.369999,32.439999,31.73,31.84,45735000,24.829002
"172",31.43,31.77,31.09,31.52,60757200,24.579464
"173",31.690001,32,31.219999,31.74,40171900,24.75102
"174",31.959999,32.169998,31.73,32.16,33080800,25.078541
"175",32.07,32.119999,31.73,31.780001,35091700,24.782213
"176",31.959999,32.040001,31.4,31.51,33575600,24.571665
"177",31.43,31.690001,31.15,31.559999,31407400,24.610657
"178",31.33,31.75,31.25,31.5,29943700,24.563869
"179",31.58,32.040001,31.41,32.040001,56188700,24.984959
"180",32.23,32.48,32.049999,32.09,49602000,25.023958
"181",31.99,32.389999,31.91,32.209999,33397100,25.117537
"182",32.560001,32.560001,32.189999,32.299999,56843000,25.187716
"183",32.220001,32.43,31.75,31.879999,41171000,24.860195
"184",31.75,32.529999,31.65,32.439999,47893500,25.296881
"185",32.650002,33,32.599998,32.990002,64886200,25.725779
"186",33.02,33.290001,32.849998,33.23,38079100,25.912935
"187",33.139999,33.380001,32.970001,33.130001,33792100,25.834951
"188",33.009998,33.330002,32.970001,32.990002,42086900,25.725779
"189",33,33.130001,32.869999,33.009998,31426300,25.741371
"190",32.900002,32.970001,32.43,32.450001,37321200,25.304684
"191",32.59,32.68,31.879999,32.150002,50560900,25.07074
"192",32.34,32.810001,32.259998,32.650002,36316300,25.460646
"193",32.529999,32.900002,32.509998,32.709999,19355200,25.507442
"194",32.799999,33.09,32.650002,33.080002,32963800,25.795963
"195",33.389999,33.5,33.150002,33.27,36917700,25.94413
"196",33.380001,33.599998,32.599998,32.799999,45218400,25.577616
"197",32.830002,33.119999,32.75,32.919998,29083700,25.671192
"198",32.919998,33.139999,32.509998,32.790001,34711500,25.569818
"199",32.41,32.5,31.85,32.290001,51867400,25.179914
"200",32.700001,32.740002,31.91,32.459999,38775000,25.312483
"201",32.189999,32.93,32.18,32.68,33165700,25.484035
"202",32.619999,32.630001,31.4,31.5,60430500,24.563869
"203",31.1,31.469999,30.950001,31.370001,41887400,24.462496
"204",31.35,31.58,30.09,31.540001,50306400,24.59506
"205",31.17,31.360001,30.52,31.26,48647400,24.376715
"206",31.370001,31.879999,31.049999,31.18,41326500,24.314331
"207",31.809999,32.099998,31.309999,31.9,42232000,24.875788
"208",32.25,32.490002,32,32.41,34941700,25.273495
"209",32.259998,32.950001,32.130001,32.610001,39989100,25.429449
"210",32.939999,33.189999,32.490002,33.060001,54876500,25.780367
"211",32.84,33.25,32.130001,32.18,49818300,25.094139
"212",32.400002,32.709999,32.110001,32.509998,53250400,25.351469
"213",32.639999,33.25,32.380001,33.080002,69607200,25.795963
"214",33.450001,34.240002,33.41,34.080002,91068600,26.575771
"215",34.040001,34.09,32.540001,32.75,138236000,25.538624
"216",30.41,31.09,29.51,29.629999,192353700,23.105629
"217",29.059999,29.280001,28.15,28.58,120564300,22.286833
"218",28.83,29.790001,28.790001,29.110001,89644700,22.700132
"219",29.610001,30.15,29.110001,30.139999,64869800,23.503332
"220",30.42,30.440001,29.549999,29.709999,61079800,23.168011
"221",29.5,29.68,29.059999,29.299999,59934000,22.848293
"222",29.85,30.1,29.450001,29.940001,53853200,23.347374
"223",29.76,29.99,29.280001,29.43,43526000,22.949669
"224",29.440001,29.84,28.49,29.040001,63284000,22.645546
"225",28.379999,28.75,28.110001,28.25,53953700,22.029503
"226",28.440001,28.780001,28.139999,28.690001,22126300,22.372618
"227",28.76,28.790001,27.42,27.5,84568600,21.444645
"228",27.629999,27.98,26.92,27.49,70141600,21.436855
"229",27.9,28.440001,27.799999,28.049999,71609300,21.873539
"230",27.809999,28.280001,27.790001,28.15,42602000,21.951519
"231",28.4,28.41,27.68,28.02,65641700,21.850149
"232",28,28.24,27.530001,27.57,52984900,21.499237
"233",27.459999,27.5,26.82,26.959999,71486400,21.023552
"234",27.440001,27.809999,27.120001,27.48,66642200,21.429052
"235",27.65,27.950001,27.5,27.790001,53056600,21.670792
"236",27.98,28.030001,27.440001,27.450001,56313400,21.405659
"237",27.68,28,27.42,27.66,58231300,21.56941
"238",27.82,28.99,27.799999,28.02,90163900,21.850149
"239",28.92,29.440001,28.370001,28.799999,86656700,22.458399
"240",28.879999,29.540001,28.82,29.059999,55224800,22.66114
"241",28.99,29.639999,28.51,28.65,53644700,22.341427
"242",28.59,28.65,27.92,27.950001,43977000,21.795561
"243",28.139999,28.469999,27.58,28.15,49890100,21.951519
"244",28.139999,28.5,27.969999,28.190001,33411700,21.98271
"245",28.6,28.620001,28.16,28.280001,47296000,22.0529
"246",28.66,29,28.42,28.6,69126500,22.302431
"247",28.68,28.950001,28.620001,28.719999,16474100,22.396009
"248",28.65,28.690001,28.200001,28.379999,35458200,22.130873
"249",28.16,28.379999,27.68,27.790001,46568900,21.670792
"250",27.950001,28.200001,27.23,27.559999,46861200,21.491436
"251",27.25,27.5,27,27.07,60736600,21.109329
"252",27,27.299999,26.209999,26.540001,64338900,20.696032
"253",26.4,27.02,26.299999,26.75,50360100,20.859789
"254",26.370001,26.93,26.01,26.120001,56897400,20.368509
"255",26.1,26.379999,25.68,26.129999,54431100,20.376312
"256",26.360001,26.790001,25.42,25.43,61248800,19.830456
"257",25.59,26.299999,25.530001,26.24,66475800,20.462091
"258",26.059999,26.450001,25.799999,26.24,55332800,20.462091
"259",25.959999,26.25,25.65,25.870001,51454300,20.173567
"260",26.610001,26.67,26.200001,26.290001,53665300,20.501083
"261",26.120001,26.190001,25,25.85,51610500,20.157967
"262",25.6,25.610001,24.790001,25.15,90232500,19.612108
"263",25.139999,25.32,23.98,24.33,110043400,18.972664
"264",24.23,25.15,24.059999,24.299999,93409400,18.94927
"265",22.389999,24.049999,22.309999,23.48,108777800,18.30983
"266",22.57,24.43,22.299999,24.030001,114430200,18.738728
"267",24.139999,25.16,24.110001,25.110001,69193200,19.580915
"268",26.049999,26.09,24.1,24.200001,79692000,18.871292
"269",24.290001,24.66,23.799999,24.1,60515200,18.793306
"270",24.27,24.299999,23.690001,24.059999,72069100,18.762121
"271",23.99,24.93,23.809999,24.360001,62098300,18.996052
"272",23.98,24.700001,23.889999,24.5,76312400,19.105236
"273",24.620001,25.129999,24,24.940001,57669700,19.448343
"274",25.040001,25.049999,23.620001,23.82,92153900,18.574963
"275",23.51,23.690001,23.219999,23.26,95795900,18.138275
"276",23.43,24.02,23.059999,23.08,141691700,17.997906
"277",21.85,23.43,21.77,23.379999,248433600,18.23185
"278",23.26,23.75,23.17,23.540001,95339000,18.356617
"279",23.65,23.700001,23.299999,23.52,69005100,18.341022
"280",23.67,24,23.25,23.43,56712600,18.270845
"281",23.620001,24.200001,23.52,24.059999,65013700,18.762121
"282",24.02,24.09,23.48,23.530001,56133600,18.348814
"283",23.379999,23.559999,23.209999,23.299999,53314900,18.169466
"284",23.559999,23.690001,22.780001,22.879999,72073700,17.841949
"285",22.780001,23.33,22.709999,23.200001,50297500,18.091486
"286",23.809999,23.99,23.09,23.190001,64586300,18.083689
"287",23.459999,23.6,22.9,23.6,53739200,18.40341
"288",23.52,23.889999,23.190001,23.799999,57042500,18.559364
"289",23.799999,24.23,23.690001,24.07,60932500,18.769915
"290",23.92,25.15,23.83,24.950001,88232300,19.456141
"291",24.719999,25.01,24.549999,24.66,69469600,19.229998
"292",24.299999,24.77,24.280001,24.389999,72410000,19.019451
"293",24.35,24.559999,24.139999,24.4,52575700,19.027254
"294",24.09,24.48,23.74,24.290001,96705100,18.941475
"295",24.459999,24.57,24.049999,24.27,75778600,18.925875
"296",24.32,24.4,23.92,23.940001,71804000,18.668539
"297",23.9,24.700001,23.780001,24.110001,70314500,18.801107
"298",24.120001,24.49,23.99,23.99,48167600,18.707533
"299",24.549999,25.16,24.43,25.15,66505800,19.612108
"300",25.17,25.6,25,25.139999,56995700,19.604307
"301",24.84,25.120001,24.4,24.950001,76975400,19.456141
"302",25.049999,25.139999,24.040001,24.32,74151500,18.964865
"303",23.59,24.690001,23.540001,24.290001,66377000,18.941475
"304",24.690001,25.610001,24.629999,25.58,70995800,19.94742
"305",25.469999,25.58,24.459999,24.469999,63988600,19.081841
"306",24.6,24.93,24.33,24.77,70930100,19.315777
"307",24.92,25.99,24.9,25.639999,55003000,19.994213
"308",25.73,25.879999,25.370001,25.75,46113300,20.07999
"309",25.299999,25.43,24.549999,24.780001,79022700,19.323578
"310",24.629999,24.76,24.120001,24.18,56566600,18.85569
