DATE,RATE
31 Dec 1975,11
31 Dec 1976,11.1137
31 Dec 1977,8.8772
31 Dec 1978,9.1059
31 Dec 1979,13.6863
31 Dec 1980,16.3091
31 Dec 1981,13.2684
31 Dec 1982,11.898
31 Dec 1983,9.8175
31 Dec 1984,9.7018
31 Dec 1985,12.2359
31 Dec 1986,10.8829
31 Dec 1987,9.7297
31 Dec 1988,10.1186
31 Dec 1989,13.8492
31 Dec 1990,14.7668
31 Dec 1991,11.6838
31 Dec 1992,9.56
31 Dec 1993,6.0099
31 Dec 1994,5.4613
31 Dec 1995,6.6949
31 Dec 1996,5.9574
31 Dec 1997,6.5689
31 Dec 1998,7.2352
31 Dec 1999,5.3398
31 Dec 2000,5.9653
31 Dec 2001,5.1235
31 Dec 2002,4
31 Dec 2003,3.6937
31 Dec 2004,4.3848
31 Dec 2005,4.6468
31 Dec 2006,4.6379
31 Dec 2007,5.5128
31 Dec 2008,4.6821
31 Dec 2009,0.6423
31 Dec 2010,0.5
31 Dec 2011,0.5
31 Dec 2012,0.5
31 Dec 2013,0.5
31 Dec 2014,0.5
