DATE,GBP1MTD156N
2015-11-13,0.51006
2015-11-16,0.50913
2015-11-17,0.51063
2015-11-18,0.50913
2015-11-19,0.50663
2015-11-20,0.50631
2015-11-23,0.50725
2015-11-24,0.50538
2015-11-25,0.50538
2015-11-26,0.50475
2015-11-27,0.50381
2015-11-30,0.5035
2015-12-01,0.50225
2015-12-02,0.50225
2015-12-03,0.50225
2015-12-04,0.50288
2015-12-07,0.50288
2015-12-08,0.50288
2015-12-09,0.50288
2015-12-10,0.50413
2015-12-11,0.50725
2015-12-14,0.50288
2015-12-15,0.50194
2015-12-16,0.50225
2015-12-17,0.5035
2015-12-18,0.50194
2015-12-21,0.50225
2015-12-22,0.50475
2015-12-23,0.50506
2015-12-24,0.50381
2015-12-25,.
2015-12-28,.
2015-12-29,0.50756
2015-12-30,0.50881
2015-12-31,0.50319
2016-01-01,.
2016-01-04,0.506
2016-01-05,0.50788
2016-01-06,0.51069
2016-01-07,0.51038
2016-01-08,0.51163
2016-01-11,0.51288
2016-01-12,0.51006
2016-01-13,0.51131
2016-01-14,0.51256
2016-01-15,0.51069
2016-01-18,0.51038
2016-01-19,0.51069
2016-01-20,0.51038
2016-01-21,0.51038
2016-01-22,0.51069
2016-01-25,0.51069
2016-01-26,0.50944
2016-01-27,0.50944
2016-01-28,0.50944
2016-01-29,0.50944
2016-02-01,0.51069
2016-02-02,0.51131
2016-02-03,0.51131
2016-02-04,0.51131
2016-02-05,0.50975
2016-02-08,0.51006
2016-02-09,0.50881
2016-02-10,0.50881
2016-02-11,0.50881
2016-02-12,0.50881
2016-02-15,0.50913
2016-02-16,0.50913
2016-02-17,0.50788
2016-02-18,0.50819
2016-02-19,0.50819
2016-02-22,0.50819
2016-02-23,0.50819
2016-02-24,0.50981
2016-02-25,0.50913
2016-02-26,0.50788
2016-02-29,0.50788
2016-03-01,0.506
2016-03-02,0.50913
2016-03-03,0.50913
2016-03-04,0.50788
2016-03-07,0.50913
2016-03-08,0.50788
2016-03-09,0.50913
2016-03-10,0.50819
2016-03-11,0.50819
2016-03-14,0.51006
2016-03-15,0.50788
2016-03-16,0.50819
2016-03-17,0.50944
2016-03-18,0.511
2016-03-21,0.51069
2016-03-22,0.50944
2016-03-23,0.511
2016-03-24,0.51069
2016-03-25,.
2016-03-28,.
2016-03-29,0.51313
2016-03-30,0.51156
2016-03-31,0.51094
2016-04-01,0.51094
2016-04-04,0.50881
2016-04-05,0.51006
2016-04-06,0.51006
2016-04-07,0.50913
2016-04-08,0.50975
2016-04-11,0.50913
2016-04-12,0.50694
2016-04-13,0.50663
2016-04-14,0.50725
2016-04-15,0.50694
2016-04-18,0.50744
2016-04-19,0.50775
2016-04-20,0.509
2016-04-21,0.50838
2016-04-22,0.50994
2016-04-25,0.50913
2016-04-26,0.50913
2016-04-27,0.50881
2016-04-28,0.51006
2016-04-29,0.50725
2016-05-02,.
2016-05-03,0.50725
2016-05-04,0.50944
2016-05-05,0.51156
2016-05-06,0.51125
2016-05-09,0.51156
2016-05-10,0.51125
2016-05-11,0.51031
2016-05-12,0.51156
2016-05-13,0.51156
2016-05-16,0.51156
2016-05-17,0.5135
2016-05-18,0.51444
2016-05-19,0.51569
2016-05-20,0.51538
2016-05-23,0.51288
2016-05-24,0.51288
2016-05-25,0.51288
2016-05-26,0.51444
2016-05-27,0.51381
2016-05-30,.
2016-05-31,0.51506
2016-06-01,0.51163
2016-06-02,0.50975
2016-06-03,0.511
2016-06-06,0.5085
