Date,2W,1M,3M,6M,1Y,2Y,5Y
10/11/2020,6.69,6.525,6.5175,6.5975,6.735,6.85,7.03
09/11/2020,6.87,6.695,6.6025,6.6925,6.85,6.9775,7.08
06/11/2020,6.925,6.655,6.8025,6.9525,7.0875,7.135,7.165
05/11/2020,7.03,6.5775,6.73,6.8575,7.0475,7.1275,7.205
04/11/2020,6.7425,6.4975,6.5675,6.785,6.9975,7.07,7.265
03/11/2020,9.1775,7.9125,7.2425,7.31,7.3875,7.41,7.38
02/11/2020,9.2025,8.0125,7.32,7.3375,7.4075,7.4,7.375
30/10/2020,9.3525,7.9875,7.44,7.4425,7.4625,7.455,7.41
29/10/2020,9.6325,8.2025,7.63,7.5225,7.5125,7.4725,7.46
28/10/2020,9.785,8.5775,7.67,7.5475,7.5725,7.5,7.49
27/10/2020,9.2625,8.09,7.3125,7.3325,7.445,7.4425,7.41
26/10/2020,8.305,7.64,7.1375,7.2125,7.37,7.3925,7.39
23/10/2020,8.2375,7.405,7.0875,7.2275,7.365,7.3975,7.355
22/10/2020,8.2025,7.565,7.2025,7.2425,7.385,7.3975,7.365
21/10/2020,8.32,7.98,7.345,7.325,7.425,7.405,7.4375
20/10/2020,5.1475,7.19,6.83,6.9725,7.19,7.2375,7.305
19/10/2020,4.6675,7.09,6.82,6.9775,7.2,7.24,7.24
16/10/2020,4.805,7.07,6.905,7.095,7.265,7.29,7.29
15/10/2020,5.0425,7.245,7.105,7.2,7.39,7.39,7.375
14/10/2020,4.9975,7.44,7.1975,7.2375,7.42,7.415,7.395
13/10/2020,4.9925,7.49,7.1825,7.2475,7.405,7.405,7.375
12/10/2020,5.185,7.5675,7.2075,7.2625,7.43,7.435,7.39
09/10/2020,5,7.31,7.1175,7.2425,7.415,7.405,7.365
08/10/2020,4.9675,7.33,7.1325,7.2475,7.39,7.3825,7.335
07/10/2020,5.215,7.55,7.4975,7.4075,7.5,7.4525,7.365
06/10/2020,5.1825,7.6075,7.5775,7.4325,7.525,7.4975,7.405
05/10/2020,5.225,7.715,7.63,7.4725,7.53,7.5075,7.4
02/10/2020,5.655,7.61,7.745,7.585,7.57,7.53,7.415
01/10/2020,5.0925,5.6325,7.67,7.4975,7.52,7.4925,7.38
30/09/2020,5.085,5.54,7.635,7.465,7.515,7.485,7.365
29/09/2020,5.3225,5.89,8.2775,7.9075,7.81,7.7175,7.425
28/09/2020,5.43,6.05,8.405,7.995,7.9,7.81,7.43
25/09/2020,5.765,6.02,8.59,8.085,7.95,7.83,7.475
24/09/2020,6.17,6.275,8.7,8.17,8.01,7.89,7.475
23/09/2020,6.02,6.3,8.65,8.095,7.97,7.86,7.49
22/09/2020,6.245,6.485,8.73,8.145,8.03,7.91,7.52
21/09/2020,6.73,6.905,8.945,8.315,8.1375,7.99,7.555
18/09/2020,6.155,6.365,8.625,8.08,7.945,7.855,7.4925
17/09/2020,5.8,6.13,8.44,8.025,7.9,7.78,7.4575
16/09/2020,5.71,5.98,8.365,7.895,7.815,7.72,7.4075
15/09/2020,5.645,5.955,8.3,7.85,7.8075,7.695,7.4075
14/09/2020,5.64,5.955,8.16,7.775,7.675,7.545,7.3525
11/09/2020,5.52,5.705,8.13,7.705,7.625,7.515,7.385
10/09/2020,5.695,5.895,8.205,7.76,7.695,7.5675,7.38
09/09/2020,6.0425,6.365,8.4025,7.9025,7.75,7.58,7.385
08/09/2020,6.47,6.7,8.57,8.04,7.91,7.715,7.5125
07/09/2020,6.16,6.465,8.24,7.83,7.715,7.57,7.4
04/09/2020,6.445,6.48,8.295,7.81,7.76,7.5975,7.4575
03/09/2020,6.93,6.78,8.355,7.865,7.745,7.5875,7.46
02/09/2020,6.355,6.8,8.245,7.8,7.745,7.595,7.4375
01/09/2020,6.595,7.075,8.325,7.88,7.765,7.6275,7.4425
31/08/2020,7.14,7.445,8.44,7.95,7.73,7.57,7.4575
28/08/2020,7.68,7.4675,8.605,8.035,7.8075,7.6475,7.4825
27/08/2020,6.055,6.18,7.79,7.425,7.425,7.3425,7.305
26/08/2020,6.38,6.515,7.86,7.465,7.48,7.37,7.305
25/08/2020,6.24,6.44,7.855,7.505,7.4625,7.355,7.275
24/08/2020,5.905,6.4,7.965,7.57,7.545,7.435,7.235
21/08/2020,6.27,6.45,8.0175,7.64,7.5725,7.455,7.265
20/08/2020,6.415,6.615,8.18,7.69,7.6275,7.465,7.2925
19/08/2020,6.525,6.815,8.21,7.775,7.675,7.515,7.32
18/08/2020,6.67,6.925,8.21,7.775,7.655,7.505,7.295
17/08/2020,6.125,6.5875,7.9875,7.59,7.5425,7.425,7.2475
14/08/2020,5.92,6.1425,7.8125,7.47,7.46,7.3775,7.24
13/08/2020,6.01,6.17,7.895,7.505,7.5,7.39,7.31
12/08/2020,6.295,6.455,7.96,7.58,7.495,7.4,7.3125
11/08/2020,6.185,6.375,7.955,7.595,7.53,7.43,7.295
10/08/2020,5.9525,6.345,7.94,7.58,7.5,7.4,7.2975
07/08/2020,6.555,6.65,8.14,7.735,7.6,7.46,7.3
06/08/2020,7.555,7.29,8.455,7.955,7.785,7.575,7.3575
05/08/2020,7.41,7.31,8.37,7.95,7.7325,7.565,7.35
04/08/2020,6.8825,6.99,8.08,7.78,7.6475,7.5025,7.285
03/08/2020,7.355,7.38,7.355,7.985,7.755,7.5475,7.305
31/07/2020,7.63,7.295,7.42,7.975,7.7825,7.6225,7.335
30/07/2020,7.155,6.99,7.345,7.95,7.7975,7.625,7.365
29/07/2020,7.7625,7.63,7.63,8.215,8.0225,7.8325,7.42
28/07/2020,7.765,7.515,7.425,8.13,7.8675,7.75,7.4
27/07/2020,8.16,7.775,7.4925,8.095,7.8575,7.7225,7.495
24/07/2020,7.13,6.635,6.745,7.555,7.47,7.43,7.1925
23/07/2020,5.265,5.37,5.965,7.03,7.125,7.18,7.145
22/07/2020,5.105,5.265,5.895,7.005,7.14,7.2075,7.145
21/07/2020,5.02,5.21,5.935,6.995,7.1525,7.23,7.1575
20/07/2020,4.6475,5.08,5.795,6.985,7.145,7.2,7.1625
17/07/2020,4.835,5.08,5.83,7.035,7.2,7.245,7.1925
16/07/2020,4.835,5.145,5.945,7.1,7.245,7.24,7.1975
15/07/2020,5.025,5.425,6.085,7.215,7.2975,7.295,7.205
14/07/2020,4.9,5.47,6.08,7.225,7.275,7.27,7.205
13/07/2020,4.855,5.505,6.085,7.235,7.2425,7.2475,7.2
10/07/2020,5.135,5.51,6.1,7.24,7.295,7.2875,7.215
09/07/2020,4.88,5.27,6.035,7.105,7.215,7.215,7.18
08/07/2020,4.865,5.355,6.035,7.125,7.1825,7.18,7.165
07/07/2020,4.835,5.385,6.04,7.12,7.18,7.16,7.1575
06/07/2020,4.8425,5.395,6.045,7.1,7.17,7.175,7.1725
03/07/2020,4.7925,5.25,5.95,7.005,7.11,7.13,7.165
02/07/2020,5.045,5.41,6.1375,7.12,7.215,7.2275,7.165
01/07/2020,5.235,5.665,6.24,7.285,7.2975,7.2975,7.21
30/06/2020,5.295,5.815,6.335,7.385,7.365,7.3025,7.245
29/06/2020,5.455,6,6.455,7.475,7.47,7.39,7.295
26/06/2020,5.59,5.82,6.475,7.56,7.4775,7.4125,7.3
25/06/2020,5.64,5.81,6.545,7.575,7.51,7.4275,7.325
24/06/2020,6.085,6.16,6.695,7.565,7.485,7.385,7.335
23/06/2020,5.89,6.11,6.625,7.54,7.4575,7.38,7.35
22/06/2020,5.165,5.65,6.355,7.31,7.245,7.275,7.2825
19/06/2020,6.18,6.19,6.8,7.6,7.4425,7.37,7.4075
18/06/2020,6.68,6.66,7.045,7.74,7.455,7.42,7.4025
17/06/2020,6.185,6.425,6.735,7.355,7.19,7.195,7.28
16/06/2020,6.1575,6.505,6.715,7.3075,7.1625,7.17,7.255
15/06/2020,6.84,7.06,7.1,7.5625,7.3575,7.3575,7.3475
12/06/2020,7.58,7.2325,7.13,7.5275,7.295,7.325,7.345
11/06/2020,7.7125,7.255,7.18,7.535,7.4,7.325,7.495
10/06/2020,7.625,7.295,6.9325,7.3175,7.195,7.23,7.445
09/06/2020,7.17,6.8,6.585,7.025,6.945,7.06,7.4
08/06/2020,6.63,6.3575,6.255,6.815,6.8475,6.985,7.3225
05/06/2020,5.77,5.56,5.81,6.505,6.625,6.795,7.2125
04/06/2020,5.8175,5.5975,5.935,6.59,6.69,6.86,7.2625
03/06/2020,5.86,5.7625,5.97,6.59,6.685,6.87,7.2575
02/06/2020,5.795,5.78,5.975,6.63,6.765,6.935,7.295
01/06/2020,5.1525,5.3975,5.85,6.58,6.7375,6.9725,7.3625
29/05/2020,5.29,5.3625,5.87,6.6025,6.7425,6.9625,7.3575
28/05/2020,5.07,5.19,5.81,6.53,6.69,6.91,7.3325
27/05/2020,4.8775,5.2575,5.73,6.52,6.6675,6.8925,7.3225
26/05/2020,4.94,5.41,6.055,6.88,7.0925,7.2875,7.57
25/05/2020,5.33,5.825,6.355,7.105,7.285,7.41,7.6275
22/05/2020,5.37,5.6975,6.315,7.135,7.3125,7.44,7.645
21/05/2020,5.2225,5.6675,6.275,7.1,7.3025,7.42,7.675
20/05/2020,5.5225,5.9375,6.5475,7.36,7.5825,7.6725,7.835
19/05/2020,5.645,6.26,6.86,7.64,7.79,7.8125,7.885
18/05/2020,5.745,6.485,7.0375,7.7675,7.885,7.8925,7.9
15/05/2020,5.9,6.525,7.17,7.895,7.975,7.9275,7.915
14/05/2020,6.2175,6.7225,7.3925,7.95,8.02,7.935,7.935
13/05/2020,6.3625,6.8525,7.4175,7.98,8,7.94,7.895
12/05/2020,6.275,6.9025,7.4075,7.975,8.005,7.97,7.895
11/05/2020,6.575,7.25,7.685,8.2,8.18,8.0925,7.925
08/05/2020,7.06,7.235,7.825,8.275,8.235,8.125,8
07/05/2020,7.8025,7.7375,8.22,8.53,8.39,8.1875,8.03
06/05/2020,7.65,7.7875,8.1875,8.5425,8.4375,8.2625,8.01
05/05/2020,7.4575,7.66,8.0875,8.44,8.3475,8.19,8
04/05/2020,7.71,7.915,8.2375,8.57,8.4525,8.225,8.015
01/05/2020,7.74,7.745,8.1,8.4125,8.315,8.125,7.955
30/04/2020,6.77,7.0925,7.7125,8.19,8.145,8.0175,7.86
29/04/2020,7.325,7.46,8.075,8.25,8.4075,8.175,7.965
28/04/2020,7.6075,7.675,8.25,8.4175,8.5175,8.245,8.02
27/04/2020,7.435,7.705,8.29,8.46,8.59,8.2925,8.005
24/04/2020,7.68,7.7375,8.355,8.545,8.65,8.33,7.9975
23/04/2020,7.665,7.8275,8.355,8.535,8.605,8.34,8.0675
22/04/2020,7.865,8.21,8.37,8.5325,8.625,8.325,8.0575
21/04/2020,8.375,8.6075,8.53,8.69,8.72,8.415,8.1425
20/04/2020,8.065,8.3225,8.47,8.575,8.685,8.315,8.0425
17/04/2020,8.49,8.385,8.6175,8.615,8.715,8.375,8.02
16/04/2020,8.765,8.485,8.63,8.625,8.63,8.285,7.985
15/04/2020,8.3575,8.655,8.6275,8.6225,8.6275,8.315,8.025
14/04/2020,9.265,9.29,8.94,8.87,8.755,8.39,8.07
13/04/2020,9.19,9.335,8.985,8.815,8.645,8.2675,7.945
10/04/2020,8.38,8.47,8.54,8.455,8.415,8.1,7.855
09/04/2020,8.33,8.52,8.615,8.52,8.475,8.125,7.765
08/04/2020,9.035,9.15,8.945,8.74,8.545,8.215,7.75
07/04/2020,8.96,9.315,9,8.76,8.54,8.215,7.7
06/04/2020,10.0375,10.165,9.565,9.1575,8.78,8.295,7.79
03/04/2020,12.255,11.78,10.435,9.5925,8.9525,8.37,7.85
02/04/2020,13.18,12.4675,10.72,9.845,9.0925,8.41,7.855
01/04/2020,14.5775,13.55,11.47,10.35,9.4625,8.585,7.895
31/03/2020,14.24,13.17,11.075,10.01,9.27,8.69,7.915
30/03/2020,15.565,14.295,12.0025,10.7525,9.795,9.0475,8.36
27/03/2020,16.495,14.435,12.425,10.96,9.965,9.195,8.385
26/03/2020,15.5425,13.53,11.64,10.3925,9.64,9.05,8.49
25/03/2020,12.29,11.14,10.0825,9.405,9.015,8.69,8.245
24/03/2020,14.18,12.765,10.81,10.01,9.4,8.8125,8.395
23/03/2020,18.0225,15.84,13.025,11.5025,10.2775,9.4,8.72
20/03/2020,18.4075,15.765,13.1425,11.7,10.5375,9.5875,8.8625
19/03/2020,20.63,17.65,14.615,12.68,11.1575,10.22,9.0475
18/03/2020,20.6125,17.655,14.46,12.4025,10.595,9.42,8.525
17/03/2020,20.9575,18.165,14.0125,11.805,10.335,9.52,8.5725
16/03/2020,24.615,20.83,16.0975,13.4975,11.4275,10.18,9.01
13/03/2020,20.12,16.615,13.2975,11.5675,10.1175,9.4725,8.7
12/03/2020,24.67,20.5,16.49,13.835,11.7375,10.38,8.815
11/03/2020,23.0525,19.4275,14.03,11.7025,10.1325,9.015,8.35
10/03/2020,20.8075,16.7,12.405,10.65,9.53,9.025,8.15
09/03/2020,25.85,21.375,15.795,13.39,11.6175,10.17,8.805
06/03/2020,13.73,11.7975,10.13,9.3175,8.64,8.285,7.86
05/03/2020,11.405,9.78,8.605,8.02,7.745,7.575,7.6975
04/03/2020,8.12,7.965,7.26,7.055,7.11,7.205,7.5075
